Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1362204330,GDL8840,NY,PAS,07/01/2014,71,SDN,NISSA,P,0,0,0,20141225,100,100,100,929841,0100,0000,0340P,,Q,F,8400,SFP,,0,408,J6,,YYYYYYY,0  :,0  :,GREY,0,2013,-,0,,,,,
1370152425,DXC3313,NY,PAS,07/02/2014,46,SDN,ACURA,P,37030,26630,55330,20150408,0067,67,164,955512,0164,0000,1136P,,K,F,248,E 51 ST,,0,408,C,,BBBBBBB,ALL,ALL,WHITE,0,2011,-,0,,,,,
1363225390,99021MC,NY,COM,07/02/2014,46,VAN,DODGE,P,34270,10910,11010,0,0010,10,420,938786,0420,0000,0531P,,NY,F,456,W 25 ST,,0,408,K2,,BBBBBBB,ALL,ALL,WH,0,2006,-,0,,,,,
1362978140,FZE1051,NY,PAS,07/02/2014,19,SUBN,FRUEH,P,0,40404,40404,20140430,0070,70,70,916139,0070,0000,0959A,,K,F,1507,CONEY LSLAND AVE,,0,408,C3,,BBBBBBB,ALL,ALL,BK,0,2010,-,0,,,,,
1355975281,ECC4663,NY,PAS,07/02/2014,71,SDN,TOYOT,P,53850,40404,40404,20150802,123,123,123,937791,0123,0000,1002A,,R,,2,WAINWRIGHT AVE,,0,408,M2,,YYYYYYY,0  :,0  :,BL,0,2010,-,0,,,,,
1368912825,303EMTP,NY,PAS,07/03/2014,16,SDN,CADIL,S,37130,13610,21190,20150313,0033,33,0,903530,MN12,0000,0800A,,NY,F,600,WEST 168 ST,,0,408,C,,YYYYYYB,0700A,0700P,BLACK,0,2013,-,0,,,,,
1367206686,GNH1626,NY,PAS,07/03/2014,17,SUBN,NISSA,P,34830,10410,10510,20160226,0020,20,20,943699,0020,0000,0653P,,NY,F,73,W 53,,0,408,J6,,BBBBBBB,ALL,ALL,GRAY,0,2004,-,0,,,,,
1362878420,6BJS265,CA,PAS,07/03/2014,21,SDN,HYUND,S,76950,9420,63020,20140930,0045,45,0,584591,BX10,0000,0810A,,BX,O,3144,WESTCHESTER AVE,,0,408,D1,,YYYYYYB,0800A,0830A,SILVE,0,2007,-,0,,,,,
1362840026,JHY7028,PA,PAS,07/03/2014,21,FOUR,HYUND,S,0,40404,40404,0,0048,48,0,861688,BX06,0000,0853A,,BX,F,2477,CAMBRELEUS AVE,,0,408,D1,,YBBYBBB,0830A,1000A,WHITE,0,0,-,0,,,,,
1362005526,882C20,MA,PAS,07/03/2014,38,,FORD,X,8930,5580,5680,0,0072,72,0,956196,KS07,0000,0916A,,K,F,540,47 STREET,,0,408,D1,,BBBBYBB,0830A,1000A,GREY,0,2012,-,0,,,,,
1359116606,61146MD,NY,COM,07/03/2014,78,P-U,FORD,P,24230,62250,19740,20150731,106,106,106,949780,0106,0000,0244A,,Q,F,102-02,164 RD,,0,408,C3,,BBBBBBB,0  :,0  :,GY,0,2005,-,0,,,,,
1361415526,FEX9695,NY,PAS,07/03/2014,46,SDN,NISSA,P,64230,22230,22080,20150631,0060,60,60,952740,0060,0000,0140P,,K,F,230,NEPTUNE AVE,,0,408,F1,,BBBBBBB,ALL,ALL,RED,0,2006,-,0,,,,,
1367335723,63552JM,NY,COM,07/04/2014,46,DELV,GMC,X,10510,33990,34010,0,0006,6,6,951194,0006,0000,1200P,,NY,F,480,6TH AVE,,0,408,F5,,BBBBBBB,ALL,ALL,BROWN,0,1990,-,0,,,,,
1356738382,GKK9740,NY,PAS,07/04/2014,64,SUBN,INFIN,P,34330,82230,72030,20151018,0073,73,0,952940,PSA2,0000,1006A,,K,F,393,DUMONT AVE,,0,408,D5,,BBBBBBB,ALL,ALL,GY,0,2004,-,0,,,,,
1340960564,DRJ7336,NY,PAS,07/04/2014,14,VAN,TOYOT,P,0,40404,40404,20140618,115,115,302,947302,0302,0000,0140A,0140A,Q,F,,CENTRAL TERMINAL ARR,,0,408,C,,BBBBBBB,0  :,0  :,BROWN,0,1999,-,0,,,,,
1364387323,GKX5174,NY,PAS,07/04/2014,17,SUBN,HONDA,P,38430,23530,71800,20160123,0077,77,109,953320,0109,0000,0121A,,K,F,1291,EASTERN PKWAY,,0,408,C,,BBBBBBB,ALL,ALL,WHITE,0,1999,-,0,,,,,
1360571607,JGR0325,PA,PAS,07/04/2014,46,SDN,HONDA,P,58020,29320,27960,20140530,0052,52,52,940340,0052,0000,0316P,,BX,F,3510,PERRY AVE,,0,408,J6,,BBBBBBB,ALL,ALL,BK,0,0,-,0,,,,,
1358298452,74296MC,NY,COM,07/04/2014,78,VAN,FORD,P,18550,10010,45590,20141130,0019,19,19,936940,0019,0000,0201A,,,O,410,E 78 ST,,0,408,K6,,BBBBBBB,0900P,0500A,WHITE,0,2005,-,0,,,,,
1356595418,87105JB,NY,COM,07/04/2014,14,VAN,CHEVR,T,0,40404,40404,0,0010,10,504,331639,T504,0000,0616P,,NY,O,460,W 10TH AVE,,0,408,J6,,YYYYYBB,0400P,0700P,WH,0,1993,-,0,,,,,
1363057558,11496JY,NY,COM,07/04/2014,46,VAN,CHEVR,P,15220,72920,48020,0,0049,49,42,907502,0042,0000,0904A,,BX,F,2420,BX PK EAST,,0,408,E2,,BBBBBBB,ALL,ALL,WT,0,0,-,0,,,,,
1347698115,CZV78719,NY,PAS,07/04/2014,71,SDN,TOYOT,P,53130,80630,75760,20130930,0079,79,79,944229,0079,0000,0424P,,,F,435,JEFFERSON ST,,0,408,J3,,YYYYYYY,0  :,0  :,SILVE,0,2008,-,0,,,,,
1360992832,51488A,CT,COM,07/04/2014,45,DELV,INTER,P,17850,10110,32620,0,0017,17,17,924165,0017,0000,0550P,,NY,O,303,E 43 ST,,0,408,C,,YYYYYYY,0  :,0  :,WHT,0,0,-,0,,,,,
1362633653,EBX1569,NY,COM,07/05/2014,71,SUBN,CHEVR,P,11720,8520,73440,20150807,0045,45,45,921497,0045,0000,0550P,,BX,F,1618,BAYVIEW AVE,,0,408,F2,,BBBBBBB,ALL,ALL,BK,0,2004,-,0,,,,,
1364560951,DPY2270,NY,PAS,07/05/2014,19,SDN,,P,18730,10410,25390,20140705,0019,19,19,948051,0019,0000,0900A,,NY,F,6,E 87 ST,,0,408,F1,,BBBBBBB,ALL,ALL,WH,0,2006,-,0,,,,,
1358693031,GEX3506,NY,PAS,07/05/2014,71,SDN,CHRYS,P,28230,57320,45020,20150324,0047,47,47,948251,0047,0000,0855A,,BX,O,1056,E 220 ST,,0,408,F1,,YYYYYYY,0  :,0  :,RD,0,1999,-,0,,,,,
1258428246,FXB4049,NY,PAS,07/05/2014,17,SDN,NISSA,P,21790,14080,11510,20140405,0001,1,574,944902,0574,0000,0959A,,NY,F,120,GREENWICH ST,,0,408,5,,YYYYYBB,0700A,0700P,WHT,0,2009,-,0,,,,,
1335093722,EBB2029,NY,PAS,07/06/2014,24,SUBN,NISSA,P,0,0,0,20150708,0075,75,824,951662,0824,0000,0730P,,K,F,,R/O 2628 LINDE,,0,408,F1,,BBBBBBB,ALL,ALL,BLK,0,2009,-,0,,,,,
1362615791,17122TT,NY,TOW,07/06/2014,78,P-U,CHEVR,P,17420,24570,22240,20140121,0045,45,45,944805,0045,0000,0258A,,BX,O,595,CALHOUN AV,,0,408,D4,,BBBBBBB,ALL,ALL,BK,0,2011,-,0,,,,,
1364232340,EFX2195,NY,PAS,07/06/2014,19,SDN,TOYOT,P,43330,85330,83330,20140210,0079,79,79,278565,0079,0000,0345P,,K,F,685,GATES AVE,,0,408,C3,,BBBBBBB,0  :P,0  :A,TAN,0,1996,-,0,,,,,
1367012351,YYE68M,NJ,PAS,07/06/2014,61,SDN,MAZDA,P,72330,28730,10765,0,0084,84,84,935270,0084,0000,1017P,,K,F,30,PRINCE ST,,0,408,D,,BBBBBBB,0  :,0  :,BLK,0,0,-,0,,,,,
1360459431,36529JP,NY,COM,07/06/2014,14,DELV,MERCU,P,45440,32910,28870,0,0001,1,1,951394,0001,0000,0419P,,NY,F,52,WILLIAM ST,,0,408,C,,BBBBBBB,ALL,ALL,WHT,0,0,-,0,,,,,
1359189397,GGF6347,NY,PAS,07/06/2014,46,SDN,,P,31530,41930,77530,20150723,,0,79,928333,0079,0000,0600A,,K,F,500,DEKALB AVE,,0,408,F2,,BBBBBBB,ALL,ALL,BLK,0,2007,-,0,,,,,
1359129522,36593MB,NY,COM,07/06/2014,46,P-U,CHEVR,P,0,40404,40404,20140831,106,106,106,943846,0106,0000,1045P,,BX,F,112-14,LIBRARY AVE,,0,408,E5,,BBBBBBB,0  :P,0  :,GRN,0,2012,-,0,,,,,
1363056153,MONEY,NY,PAS,07/06/2014,40,SUBN,JEEP,P,72620,40404,40404,20151029,0049,49,49,907502,0049,0000,0854A,,BX,F,431,WALLACE,,0,408,E2,,BBBBBBB,ALL,ALL,GREY,0,0,-,10,,,,,
1363055719,832VM8,MA,PAS,07/06/2014,40,SUBN,BMW,P,40320,8930,14420,0,0049,49,49,907502,0049,0000,0840A,,BX,F,2011,HOLLAND,,0,408,E2,,BBBBBBB,ALL,ALL,WT,0,0,-,0,,,,,
1358456756,DSE2226,NY,PAS,07/07/2014,21,SUBN,CHEVR,S,18240,10590,10790,20140730,110,110,0,922408,QW04,0000,1149A,,Q,F,48-22,90TH ST,,0,408,D1,,YBBBBBB,1130A,0100P,BLACK,0,2011,-,0,,,,,
1367642760,GAW3525,NY,PAS,07/07/2014,67,SDN,FIAT,P,0,0,0,20140718,0032,32,32,948899,0032,0000,1250A,,NY,,,C/O 146,BRADHURST,0,408,E2,,BBBBBBB,ALL,ALL,BLUE,0,2012,-,0,,,,,
1367100513,49265BA,NY,OMR,07/07/2014,41,BUS,INTER,P,8780,42630,6280,20150228,0066,66,66,935432,0066,0000,0755A,,K,F,1118,44 ST,,0,408,E2,,BBBBBBB,ALL,ALL,YW,0,1997,-,0,,,,,
1367272129,PRZ2522,MN,PAS,07/07/2014,46,DELV,MERCU,P,10510,34890,34910,0,0018,18,18,945618,0018,0000,1251P,,NY,F,1389,6TH AVE,,0,408,F1,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1365856744,FJX1350,NY,PAS,07/07/2014,20,SUBN,MAZDA,P,24830,5680,5780,20151211,0078,78,78,928683,0078,0000,1021A,,K,F,712,CARROLL ST,,0,408,C3,,YYYYYBB,07 0A,04 0P,GREY,0,1999,-,0,,,,,
1364980617,FMP5559,NY,SRF,07/07/2014,71,SUBN,PORSC,P,0,0,0,20160103,109,109,109,949647,0109,0000,1159A,,Q,F,9-43,,,0,408,K6,,BBBBBBB,ALL,ALL,GREY,0,2008,-,0,,,,,
1357251518,ZPM810,NJ,PAS,07/07/2014,20,SUBN,HONDA,P,25090,29890,31490,0,0007,7,13,953567,0013,0000,1127P,2324P,NY,F,150,LUDLOW,,20140207,408,C,,BBBBBBB,ALL,ALL,GRAY,0,0,-,0,,,,,
1358925756,14877MB,NY,COM,07/07/2014,19,VAN,MERCU,P,15350,32580,45490,20120731,0007,7,401,927403,0401,0000,1033A,,NY,O,220,CHURCH ST,,0,408,F1,,BBBBBBB,ALL,ALL,WHT,0,2004,-,0,,,,,
1365649155,63443JM,NY,COM,07/07/2014,45,VAN,MERCU,P,35490,44990,29690,0,0020,20,20,920567,0020,0000,1105A,,NY,O,324,W 86 ST,,0,408,F1,,YYYYYYY,0  :,0  :,BR,0,2001,-,0,,,,,
1363056270,GEE4277,NY,PAS,07/07/2014,57,SDN,KIA,P,52920,52710,47520,20150913,0049,49,49,907502,0049,0000,0826A,,BX,O,2087,MULINER,,0,408,J6,,BBBBBBB,ALL,ALL,BK,0,0,-,0,,,,,
1362223256,81222MD,NY,COM,07/07/2014,19,DELV,MITSU,P,23230,60130,53130,20150831,0083,83,83,945220,0083,0000,1104A,,K,F,935,BROADWAY,,0,408,F1,,BBBBBBB,ALL,ALL,WHITE,0,2005,-,0,,,,,
1360444440,49771JG,NY,COM,07/07/2014,20,DELV,,P,44890,14010,21690,0,0001,1,1,950883,0001,0000,0511P,,NY,F,307,WEST BROADWAY,,0,408,D,,YYYYYYY,0  :,0  :,BROWN,0,0,-,0,,,,,
1350375202,1B49A,NY,SRF,07/07/2014,45,TAXI,FORD,P,0,0,0,20140228,0014,14,14,942298,0014,0000,0835A,0829A,NY,,,N/W C/O W 40 ST AND,8TH AVE,20130707,408,C,,BBBBBBB,ALL,ALL,YELLO,0,2012,-,0,,,,,
1369573364,JFC8650,PA,PAS,07/08/2014,46,VAN,CHEVR,P,37310,31190,32790,0,0033,33,33,916572,0033,0000,1000A,,,F,600,W 178 ST,,0,408,D,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1370974620,GKK7737,NY,PAS,07/08/2014,21,SDN,MERCU,P,26230,35680,67530,20151106,0070,70,70,955623,0070,0000,0101A,,K,F,1904,CHURCH AVE,,0,408,J3,,BBBBBBB,ALL,ALL,BLK,0,2013,-,0,,,,,
1370202933,D61DNS,NJ,PAS,07/08/2014,21,SDN,HONDA,S,0,0,0,0,0061,61,0,907328,KS15,0000,0739A,,K,F,,1711 TM BL,,0,408,D1,,YYYYYYB,0730A,0800A,GRY,0,0,-,0,,,,,
1367996594,AM693J,NJ,PAS,07/08/2014,19,,MERCU,P,12670,33390,11115,0,0001,1,401,927337,0401,0000,0925A,,NY,F,17,BATTERY PL,,0,408,F1,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1321385705,FDV7679,NY,PAS,07/08/2014,46,SDN,BMW,P,19270,10210,10110,20141125,0025,25,25,949011,0025,0000,0746P,,NY,F,245,E 116 ST,,0,408,E2,,BBBBBBB,ALL,ALL,,0,2011,-,0,,,,,
1367577652,42603MD,NY,COM,07/08/2014,46,DELV,MITSU,P,40930,13980,36230,20150731,0070,70,70,953780,0070,0000,0343P,,K,F,1599,FLATBUSH AVE,,0,408,C3,,BBBBBBB,ALL,ALL,WHITE,0,2003,-,0,,,,,
1366414950,WRU7840,VA,PAS,07/08/2014,40,FOUR,ME/BE,P,18770,40404,40404,0,0019,19,19,949954,0019,0000,0722P,,,F,1725,E 89 ST,,0,408,E3,,BBBBBBB,ALL,ALL,GRAY,0,0,-,0,,,,,
1345837653,T633568C,NY,SRF,07/08/2014,19,SDN,FORD,P,51090,24240,24290,20150331,103,103,171,954662,0171,0000,0745P,,Q,O,164-02,JAMAICA AVE,,0,408,F1,,BBBBBBB,ALL,ALL,BK,0,2011,-,0,,,,,
1365937276,FYD7498,NY,PAS,07/08/2014,40,SDN,HONDA,X,74690,23520,36320,20140824,0052,52,163,953782,0163,0000,1004P,,BX,F,25,W 183 ST,,0,408,E2,,BBBBBBB,ALL,ALL,BLK,0,2010,-,8,,,,,
1358730210,FGD487,NY,PAS,07/08/2014,70,SUBN,SATUR,P,0,0,0,20131118,0047,47,47,948301,0047,0000,0845A,,BX,O,,C/O E 235 ST,VAN CORTLANDT,0,408,J6,,BBBBBBB,ALL,ALL,BLACK,0,2004,-,0,,,,,
1362994169,DEG4749,NY,PAS,07/08/2014,19,SUBN,TOYOT,P,40930,50050,36180,20150428,0070,70,70,937203,0070,0000,1253P,,K,F,1589,FLATBUSH AVE,,0,408,F2,,BBBBBBB,ALL,ALL,GREY,0,2006,-,0,,,,,
1361417006,GJP9183,NY,PAS,07/08/2014,19,SDN,ME/BE,P,83630,91780,91830,20150501,0060,60,60,944705,0060,0000,0615P,,K,F,2919A,SURF AVE,,0,408,F2,,BBBBBBB,0  :,0  :,GY,0,2005,-,0,,,,,
1363073576,95628MB,NY,COM,07/08/2014,46,DELV,FORD,P,0,0,0,20140930,0049,49,49,907502,0049,0000,1216P,,BX,O,1825,WT PLAINS RD,,0,408,F1,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1363057613,DWX5172,NY,PAS,07/08/2014,40,,TOYOT,P,49970,29820,66860,20150207,0049,49,49,907502,0049,0000,0824A,,BX,O,1516,MCDONALD,,0,408,E5,,BBBBBBB,ALL,ALL,GREY,0,0,-,9,,,,,
1358210548,45937MD,NY,COM,07/08/2014,78,VAN,FORD,P,26840,21900,0,20150430,105,105,105,950591,0105,0000,0811P,,Q,,,218 ST,131 AVE,0,408,F7,,BBBBBBB,ALL,ALL,WH,0,2013,-,0,,,,,
1338040042,83349JM,NY,COM,07/08/2014,48,DELV,INTER,P,21690,31890,15510,20141031,0007,7,7,936959,0007,0000,1055A,,NY,F,395,GRAND ST,,0,408,E9,,YYYYYYY,0  :,0  :,WH,0,2006,-,0,,,,,
1371495981,EBN3328,NY,PAS,07/09/2014,20,CONV,MAZDA,P,51640,48830,32600,20150729,0084,84,84,953041,0084,0000,0017A,,K,O,19,HUNTS LA,,0,408,D,,BBBBBBB,ALL,ALL,BLUE,0,1993,-,0,,,,,
1370473886,5BH3223,MD,PAS,07/09/2014,14,SUBN,NISSA,P,67030,60830,74230,0,0071,71,71,925311,0071,0000,0647P,,K,F,1139,NOSTRAND AVE,,0,408,C,,YYYYYBB,0400P,0700P,GERY,0,0,-,0,,,,,
1366222738,DJA3886,NY,PAS,07/09/2014,40,SUBN,NISSA,P,17210,10110,10010,20160102,0009,9,9,949627,0009,0000,0732P,,NY,O,326,E 11 ST,,0,408,E1,,BBBBBBB,ALL,ALL,WHITE,0,2007,-,0,,,,,
1369110029,49282KA,NY,COM,07/09/2014,46,VAN,FORD,P,24890,18370,18390,0,0019,19,19,932402,0019,0000,1232P,,NY,O,954,LEXINGTON AVE,,0,408,F1,,BBBBBBB,ALL,ALL,WH,0,2009,-,0,,,,,
