Season,Nation,Winners,Score,Runners-up,Runner-UpNation,Venue,Attendance
1976–77,England,Liverpool,3–1,Borussia Mönchengladbach,Germany,"Stadio Olimpico,Rome",52078
1977–78,England,Liverpool,1–0,Club Brugge, Belgium,"Wembley Stadium,London",92500
1978–79,England,Nottingham Forest,1–0,Malmö FF,Sweden,"Olympiastadion,Munich",57500
1979–80,England,Nottingham Forest,1–0,Hamburg,Germany,"Santiago Bernabéu Stadium, Madrid",51000
1980–81,England,Liverpool,1–0,Real Madrid,Spain,"Parc des Princes,Paris",48360
1981–82,England,Aston Villa,1–0,Bayern Munich,Germany,"De Kuip, Rotterdam",46000
1982–83,Germany,Hamburg,1–0,Juventus,Italy,"Olympic Stadium,Athens",73500
1983–84,England,Liverpool,1–1*[B],Roma,Italy,"Stadio Olimpico,Rome",69693
1984–85,Italy,Juventus,1–0,Liverpool,England,"Heysel Stadium,Brussels",58000
1985–86,Romania,Steaua Bucure?ti,0–0*[C],Barcelona,Spain,"Estadio Ramón Sánchez Pizjuán,Seville",70000
1986–87,Portugal,Porto,2–1,Bayern Munich,Germany,"Prater Stadium,Vienna",57500
1987–88,Netherlands,PSV Eindhoven,0–0*[D],Benfica,Portugal,"Neckarstadion,Stuttgart",68000
1988–89,Italy,Milan,4–0,Steaua Bucureti,Romania,"Camp Nou,Barcelona",97000
1989–90,Italy,Milan,1–0,Benfica,Portugal,"Prater Stadium,Vienna",57500
1990–91,Yugoslavia,Red Star Belgrade,0–0*[E],Marseille,France,"Stadio San Nicola,Bari",56000
1991–92,Spain,Barcelona,1–0,Sampdoria,Italy,"Wembley Stadium,London",70827
1992–93,France,Marseille,1–0,Milan,Italy,"Olympiastadion,Munich",64400
1993–94,Italy,Milan,4–0,Barcelona,Spain,"Olympic Stadium,Athens",70000
1994–95,Netherlands,Ajax,1–0,Milan,Italy,"Ernst-Happel-Stadion,Vienna",49730
1995–96,Italy,Juventus,1–1*[F],Ajax,Netherlands,"Stadio Olimpico,Rome",70000
1996–97,Germany,Borussia Dortmund,3–1,Juventus,Italy,"Olympiastadion,Munich",59000
1997–98,Spain,Real Madrid,1–0,Juventus,Italy,"Amsterdam Arena,Amsterdam",48500
1998–99,England,Manchester United,2–1,Bayern Munich,Germany,"Camp Nou, Barcelona",90245
1999–00,Spain,Real Madrid,3–0,Valencia,Spain,"Stade de France,Saint-Denis",80000
2000–01,Germany,Bayern Munich,1–1*[G],Valencia,Spain,"San Siro, Milan",79000
2001–02,Spain,Real Madrid,2–1,Bayer Leverkusen,Germany,"Hampden Park,Glasgow",50499
2002–03,Italy,Milan,0–0*[H],Juventus,Italy,"Old Trafford,Manchester",62315
2003–04,Portugal,Porto,3–0,AS Monaco,France,"Arena AufSchalke,Gelsenkirchen",53053
2004–05,England,Liverpool,3–3*[I],Milan,Italy,"Atatürk Olympic Stadium, Istanbul",69000
2005–06,Spain,Barcelona,2–1,Arsenal,England,"Stade de France,Saint-Denis",79610
2006–07,Italy,Milan,2–1,Liverpool,England,"Olympic Stadium,Athens",63000
2007–08,England,Manchester United,1–1*[J],Chelsea,England,"Luzhniki Stadium,Moscow",67310
2008–09,Spain,Barcelona,2–0,Manchester United,England,"Stadio Olimpico,Rome",62467
2009–10,Italy,Internazionale,2–0,Bayern Munich,Germany,"Santiago Bernabéu Stadium,Madrid",73490
2010–11,Spain,Barcelona,3–1,Manchester United,England,"Wembley Stadium,London",87695
2011–12,England,Chelsea,1–1*[K],Bayern Munich,Germany,"Allianz Arena,Munich",62500
2012–13,Germany,Bayern Munich,2–1,Borussia Dortmund,Germany,"Wembley Stadium,London",86298
